,lod,A_J.39,C57BL_6J.39,129S1_SvImJ.39,NOD_ShiLtJ.39,NZO_HlLtJ.39,CAST_EiJ.39,PWK_PhJ.39,WSB_EiJ.39,pred_mean,pearson_corr,spearman_corr
ENSMUSG00000022704,71.5675530817376,-0.122431338772049,-0.293310252281271,-0.248407820409719,-0.227275590667734,-0.287924863169943,0.598323090453516,0.826312735813556,-0.245285960966347,0.0142914745625,0.8102025513383305,0.4047619047619048
ENSMUSG00000018040,11.3152832414117,0.0744638149456929,0.0113396221888884,-0.0405265028595494,0.0562564009564284,0.0358278695450274,-0.0407739931443967,-0.104302256984644,0.0077150453525529,0.045566084874999996,0.46779014305242606,0.07142857142857144
ENSMUSG00000041959,4.95965466216764,-0.0145875123458357,-0.199176880046377,0.126373556527907,-0.0564368712864169,-0.0214994081619597,-0.15571528932607,0.14973110656568,0.171311298073066,284.61205125000004,0.22869424669261026,0.261904761904762
ENSMUSG00000053477,3.14281916056351,-0.0225872272862375,0.0334940391472038,0.0473031849268892,-0.0318984917172944,-0.0943974145077018,0.0158875396374398,0.0543047321380232,-0.0021063623383152,0.010172595574999999,-0.5214059955563313,-0.5714285714285715
ENSMUSG00000040688,30.7549848666208,0.040459837522743,-0.235440171858103,0.0220755927113991,0.046879041961855,0.0383115064317643,0.153097109223509,-0.240085738249793,0.174702822256624,0.046604987125000004,0.5763789653877152,0.28571428571428575
ENSMUSG00000053291,12.3699058044102,0.119357352694392,0.0521405158117716,0.0238660507720017,0.0417383935778481,0.0897937038842773,-0.224767404639824,-0.116025015342487,0.0138964032420237,0.042408593875,0.7109351132771382,0.8333333333333335
ENSMUSG00000097673,42.8171720204641,0.199919982086119,0.0126389124129878,0.247667889003671,0.246321685583426,0.202228857833561,-0.957655167730848,0.0222213195973699,0.0266565212137095,0.00396944535,0.4564203224865245,0.2142857142857143
ENSMUSG00000027109,1.61498601707831,0.0004078535516391,-0.0173174391199105,0.0605351239452983,0.0032944920692372,0.0092313022938306,-0.0186152575137175,0.0127151613956826,-0.0502512366220547,0.022450266499999996,-0.09505633093917219,-0.2380952380952381
ENSMUSG00000026696,21.0991417416991,-0.0489247132451496,-0.137742110948469,0.057724463757868,-0.128916766389009,0.115884561856866,-0.0256643221704014,0.173554133361066,-0.0059152462227665,10.829386875,0.4286157426215721,0.6190476190476191
ENSMUSG00000038963,19.0319430812406,0.224904638030329,0.270024203184391,-0.151443181330246,-0.116736639035628,0.141053589132492,-0.174670360470385,-0.0660428547592229,-0.127089394751727,3.3644088749999996,-0.9249683077726039,-0.8095238095238096
