,lod,A_J.39,C57BL_6J.39,129S1_SvImJ.39,NOD_ShiLtJ.39,NZO_HlLtJ.39,CAST_EiJ.39,PWK_PhJ.39,WSB_EiJ.39,pearson_corr,spearman_corr
ENSMUSG00000060441,219.406241908169,-1.52942167666061,-0.226830096716542,-1.60318202553871,-0.329220439641821,2.12099259956701,0.94102111857893,-0.866122236683888,1.49276275709564,0.8571009586492279,0.7380952380952381
ENSMUSG00000073555,216.274377716809,1.21254150222106,1.71957914816083,-0.224688359653898,-0.947919540338005,-1.52864998800674,-1.76130609616538,0.0178916488243218,1.51255168495781,0.3973096428548543,0.5000000000000001
ENSMUSG00000027014,197.717792638051,-0.321742925365712,-0.348964274809431,-0.336517931033846,-0.0646162468188849,-0.441042311019734,0.0136639378697168,-0.731149293464936,2.23036904464283,-0.5986811487924224,-0.523809523809524
ENSMUSG00000042251,197.688993285624,-1.07744630464123,-1.22120772365995,-0.157410327093562,-1.0727301323673,0.0595235023414762,0.202025910055198,0.886693306317104,2.38055176904826,0.9305588693178065,0.7857142857142858
ENSMUSG00000020268,185.348308114196,-1.30645309778033,-0.215986719793617,-1.43001959312127,-1.35720026621623,1.78869688683115,1.21477682832532,2.07513083158852,-0.768944869833542,0.5870029899010716,0.4761904761904762
ENSMUSG00000028619,177.824013487729,-0.801598801712235,1.29123559092772,-0.605426007279149,0.97097682356014,-2.53248319485747,0.603553425197041,0.166828535018218,0.90691362914573,-0.17511657800459668,-0.5476190476190477
ENSMUSG00000025197,169.543560294498,-1.42180418905233,0.321915578885553,0.149889337369287,-1.4862139208865,-1.36637987194993,1.83192247966797,1.6857780617513,0.284892524214656,0.5139778628321199,0.2380952380952381
ENSMUSG00000054385,166.659900806257,-1.39754337504979,-1.25325232557873,-0.622721936305978,0.714034161342345,-1.38237533309284,2.18081624461367,1.0716561400278,0.689386424043521,0.09553136479122065,-0.261904761904762
ENSMUSG00000057037,163.669485375045,-2.29517821645705,0.0918341075843705,-0.0526022544257278,0.678683440045829,-0.0368926970294692,-0.676305170935931,1.60793781200682,0.682522979211158,-0.10865734784526238,-0.023809523809523815
ENSMUSG00000024404,163.077514979789,-0.508014792263239,-1.38023021321652,0.422754073227608,-1.47585876549202,0.465452533257742,-0.0821754754303322,2.74702805047629,-0.188955410559524,-0.0638789221128369,-0.3333333333333334
ENSMUSG00000027597,162.349488714778,1.28752543127952,1.52260513357394,-0.907848853590404,-1.06393408183621,-1.11171915482287,0.067235657355,1.39166714213178,-1.18553127409075,0.0013398635371043555,-0.04761904761904763
ENSMUSG00000073643,161.82308344701,-0.191744475716783,-2.34957360301304,-0.162777079438565,-0.464724319846574,-0.242639054869262,0.997945665976488,0.818149825139881,1.59536304176786,0.021791058578598928,0.04761904761904763
ENSMUSG00000021211,161.714859257764,0.905577263990706,1.11000054004656,0.848647694801448,1.10396995218616,-1.73070152121807,-1.51644518765306,-1.74885786385532,1.02780912170157,0.8076404474713549,0.4761904761904762
ENSMUSG00000032498,161.03354967678,1.25762289391806,1.28709116936035,-1.84103790673074,1.08328876710473,0.467705647605426,-1.16226931501531,-1.36856849729855,0.276167241056025,0.49661037719389656,0.5952380952380953
ENSMUSG00000023806,161.028769491815,-1.29170992678209,1.28227548209289,-0.102179944047989,-1.52584857012055,1.16881890737571,-1.32996794018082,2.02965486363558,-0.231042871972726,0.09919877734063794,0.09523809523809526
ENSMUSG00000033898,158.693224379991,-1.33864048155995,1.35787508676305,1.52812598087927,-0.94404026428812,1.5470680000939,-0.624186157040401,-1.15315927738892,-0.373042887458839,0.3932423178560241,0.261904761904762
ENSMUSG00000073402,158.355013217459,1.1770019696405,-1.65048801820856,-0.563560768758477,-0.96718974857849,-1.18265311781507,-0.167863147585356,1.12501289290364,2.22973993840181,0.8069973509655264,0.7857142857142858
ENSMUSG00000052605,156.433519075919,-0.932060221217093,0.735365828242255,0.353525729868277,-0.8201896267854,0.860210891265097,-1.82146375797286,2.48801591419251,-0.863404757592784,-0.12771003091720645,-0.07142857142857144
ENSMUSG00000097616,155.413307827724,1.1584502438747,1.14263828934974,1.31142694697015,1.30038063157851,-1.19796202490318,-1.10259787632412,-1.51279141515995,-1.09954479538584,-0.22119234082382677,-0.2380952380952381
ENSMUSG00000085558,154.623225281079,0.170761983900808,1.88318353119106,-1.26747611716019,0.0502594007517244,1.84681970851119,-1.19942315209061,-1.14025647288797,-0.343868882216006,0.6286153384194256,0.7142857142857144
ENSMUSG00000047150,154.565310688122,1.02751523152935,1.4770551646687,0.271261830296359,-1.46048832453057,1.57019395025979,-1.1880527817122,-1.45170074158596,-0.245784328925475,-0.3944548702379886,-0.523809523809524
ENSMUSG00000091476,152.899766636939,1.48274120082368,-1.31220812941276,-1.16313483765498,-1.2284415777268,0.54444404834958,-0.973783283694254,1.38241177293966,1.26797080637587,-0.7718687647941221,-0.6107893935757621
ENSMUSG00000057143,151.885441897545,1.34054333586687,0.550260068672958,1.56929694931374,-1.52041008788985,0.352545574975491,-0.776500375043273,-2.24651435358146,0.730778887685527,-0.04704546935278824,0.11904761904761905
ENSMUSG00000026447,150.605920906049,0.134437351278933,-0.060554884004091,-0.279646816292417,-1.83287421687741,-1.76994623488521,1.52611191200347,2.28353973132129,-0.0010668425445697,0.425475905331281,0.38095238095238104
ENSMUSG00000049152,150.293229660817,0.782300029087735,1.21808290811792,0.865489069210686,0.831827939605488,0.800810278576401,-1.41002743507223,-1.62139091525187,-1.46709187427413,-0.661502041907049,-0.7142857142857144
ENSMUSG00000065987,149.498629301279,-0.833470697679833,-1.03600981343683,-0.381525838272995,-0.810024638852156,1.61742451560243,0.145655118608665,-0.742794449050433,2.04074580308115,0.016805125894420195,-0.2380952380952381
ENSMUSG00000051748,149.432037012261,1.38691823399193,1.05320764266361,1.32965357158651,1.17556339784107,-1.15654778964905,-0.780065359397284,-1.78992897756969,-1.2188007194671,0.5556334124203807,0.6190476190476191
ENSMUSG00000091705,149.20998280894,-1.04926859296761,-1.31874972622943,-1.02399064594883,0.34901172939982,1.44875246796046,-0.377054330069207,2.53397876850005,-0.562679670645249,-0.19705300088236352,-0.3571428571428572
ENSMUSG00000063953,149.161057305591,-0.853321903226675,-0.811452547050831,-0.93980665019589,-0.651474632301649,-0.688412204956169,1.56805828310827,1.62701965012605,0.749390004496898,-0.7484644270513198,-0.7380952380952381
ENSMUSG00000090942,148.988107163975,1.15101750742097,1.61528647272283,-0.831025414312999,0.393859972501735,-1.17924646284233,-1.52371012192821,-0.973328083295079,1.34714612973309,-0.13196999493071937,0.4285714285714286
ENSMUSG00000018425,148.778419598112,-0.492057647776644,1.12807534569365,-0.389310103091105,1.51925494535117,-0.572969667433605,-1.20964003693169,-1.58698482935301,1.60363199354123,-0.5374431259651108,-0.4285714285714286
ENSMUSG00000030131,148.566331224741,-0.938895189347289,1.5641992102092,-0.951154969053075,-0.782692353620081,-0.784713963643102,0.170149288316946,-0.274755429648822,1.99786340678622,0.27782020037201344,0.5476190476190477
ENSMUSG00000004035,148.084347275127,-0.817033310534546,-0.888659701605025,-0.881468657063664,-0.870602611914582,2.27342080571852,1.06987100247573,0.906986045861032,-0.792513572937463,0.0843228606721162,-0.261904761904762
ENSMUSG00000070594,147.93201579743,0.525493748746661,0.420194047884102,0.409625408215569,-1.93999360898629,0.560923130183964,1.01531574397201,0.687800485218519,-1.67935895523453,0.2087770242545244,0.3333333333333334
ENSMUSG00000055137,147.931163392398,1.33504283780696,0.531739868476186,-2.33865588254083,0.302174862835074,0.206001554692371,-1.01332720356151,1.53921106115213,-0.562187098860375,0.0651645300648072,0.07185757571479554
ENSMUSG00000032959,146.667949506342,1.49296090401585,-1.99962909868058,1.22994543169097,-1.60803593349205,0.608633927622308,0.0365210143259172,-0.894724688187787,1.13432844270537,-0.36664703883553,-0.5000000000000001
ENSMUSG00000091813,146.528963650074,-0.872676353036702,-1.09239912718582,-0.931897704508861,-1.00749951249376,-0.990069677177897,0.996448296201575,1.77882061477906,2.11927346342241,0.5069679997279825,0.11904761904761905
ENSMUSG00000028164,146.30299705979,-0.320730575769236,0.0627670615635867,-0.97474996496126,-0.317881351989652,0.35734520954096,2.51201342392155,0.596753330359357,-1.91551713266531,0.5811477499809767,0.6428571428571429
ENSMUSG00000057411,146.237525658907,0.969568360581686,1.06767567464598,1.01773685989604,1.01818779874562,0.786172407772399,-1.0298778695593,-2.50024279066289,-1.32922044141953,0.6990947574670937,0.7380952380952381
ENSMUSG00000093483,145.824064257395,2.06979605718482,-1.13338961661881,2.15199367763902,-1.07546524635321,-1.26996739286285,-0.230667826170919,-0.685117562857604,0.172817910039569,0.05428741944127562,0.5476190476190477
ENSMUSG00000020444,145.764429844301,-0.81629253798535,0.988025575735474,-0.591818795838282,-0.672204298445652,0.139582107326631,1.93789370958461,1.03537129247856,-2.02055705285599,0.30876171308211653,0.261904761904762
ENSMUSG00000086784,145.172299537158,-0.308784419573788,0.440852195946017,0.0741373196562301,-0.142020693556092,-0.0546209264203413,2.59588575626106,-2.13581283169859,-0.469636400614497,-0.5547119819180766,-0.2380952380952381
ENSMUSG00000056116,144.572844773914,-1.60111902968728,1.32073013516506,0.851620464387305,-1.52783071255866,1.34335564799325,-1.30609399920095,-0.146848444189237,1.06618593809051,0.4757378096781716,0.5952380952380953
ENSMUSG00000072825,143.712827047426,1.48043207466143,-1.22493703859215,-1.07757920555836,-1.13669898420525,0.618838406699458,0.735721162866797,-1.09097101239805,1.69519459652614,-0.06047939342757687,0.30952380952380953
ENSMUSG00000044103,143.613376807599,0.0235702758662165,-0.22789879206396,-0.0279047148013975,-9.27669350617895e-05,0.0187486137984409,0.0190080311669871,-0.235108071213966,0.42967742418274,0.49120208084096123,0.8571428571428572
ENSMUSG00000028218,142.39134407399,1.01809580501467,1.08755592288495,1.3801197361093,1.01103512486157,-0.320580049352944,-1.39837667159688,-2.00447661092577,-0.773373256994907,-0.44746360963112114,-0.8095238095238096
ENSMUSG00000052833,142.177667851907,-0.679629407162298,-0.805977808995177,2.22305711150758,-0.755176433469891,-0.954795147301782,-0.0893005228790073,1.82051537315485,-0.758693164854281,-0.9598486822078796,-0.7619047619047621
ENSMUSG00000034462,142.167536307238,-0.0152506726907781,0.576476502410368,0.730612258682695,0.873653638542947,0.0920086780802752,1.72689296131059,-2.00485456237544,-1.97953880396066,0.6928130493023139,0.6428571428571429
ENSMUSG00000058216,141.388787579292,-0.170212431485923,-0.187919688930338,-0.133563705831113,-0.181944672688372,-0.210893161481321,2.58399189339708,-1.56011529332141,-0.139342939658598,0.6443892729074325,0.4761904761904762
ENSMUSG00000066442,140.80175461999,-0.440518347945626,-0.42970602264026,-0.755449355480643,-0.928213741051806,-0.419342913686288,2.61387877045999,0.557265372533057,-0.197913762188428,-0.3134969709664487,-0.4047619047619048
ENSMUSG00000028393,139.446352794566,2.07478926413946,-1.33431095779934,0.877539749882526,0.870966910984811,0.81871555156176,-0.639688897567276,-1.43044769855231,-1.23756392264964,-0.42089627266412244,-0.2142857142857143
ENSMUSG00000040234,139.333258159511,-0.737375309039035,1.40164809301379,-0.425249109063995,-0.926177002936972,0.946075055916055,0.464837653794181,1.10641492960069,-1.83017431128472,-0.6401883663764879,-0.6428571428571429
ENSMUSG00000030423,138.516690625652,-0.914057960314739,1.43046881261369,-1.16616159015596,-1.04650137245638,1.22163671071108,0.357559361195396,1.43466782563224,-1.31761178722532,-0.2913211326411189,-0.38095238095238104
ENSMUSG00000025036,138.296939496897,-0.149086033271051,1.04812782846569,-1.09436784799551,-0.801545760597658,-0.933358781258706,-0.0195211098563583,2.50937792140399,-0.559626216890402,0.15934109454770243,0.261904761904762
ENSMUSG00000095463,138.243588531569,0.125242400420963,2.42226658665946,0.0841561775697284,0.204136966775708,0.211929262474262,-2.23332044593214,-0.653287294691962,-0.161123653276027,0.595627001619395,0.6343350474165467
