"","A_J.39","C57BL_6J.39","129S1_SvImJ.39","NOD_ShiLtJ.39","NZO_HlLtJ.39","CAST_EiJ.39","PWK_PhJ.39","WSB_EiJ.39"
"ENSMUSG00000047161",-0.498580729147711,-0.0932952103084073,-0.500439503715378,-0.130274782848086,-0.487591790753528,1.31680296133757,0.587094470660024,-0.193715415224482
"ENSMUSG00000024304",0.205039856154413,-0.261483457180004,-0.455191925900212,-0.0931082248813224,0.361598421219906,0.618786910346397,0.822598418487354,-1.19823999824653
"ENSMUSG00000048799",-0.360154932175215,0.930250372838158,0.373394937192161,-0.519171912155389,-0.374050593465502,-0.185820288496963,0.231440382790015,-0.0958879665272654
"ENSMUSG00000065968",-0.536405932835966,-0.807651666419575,-0.388914348449499,-0.306765005837705,-0.587354156581254,-0.365935407151318,0.428444562817914,2.5645819544574
"ENSMUSG00000044117",-0.879357705216053,-0.646033594252312,-0.484108115342363,-0.414474787116627,-0.620077897373977,-0.375804766437474,0.751620093733954,2.66823677200485
"ENSMUSG00000022827",0.029207066938635,-0.722011969700396,-0.0146616814289375,-0.0479847154702626,0.649223284260286,0.25861130009513,-0.652916774514747,0.500533489820292
"ENSMUSG00000022821",1.58527569436728,0.683903901110484,0.544641269536751,1.07775098924775,-1.06844270558234,-1.42459965917247,-0.12404450637481,-1.27448498313264
"ENSMUSG00000073563",-0.11932888579524,0.126808582397678,0.818356415081777,0.124697890568435,-0.0538155254558564,-0.807261697407486,-0.143175869739936,0.0537190903506279
"ENSMUSG00000022820",-0.303715702795886,-0.618157251496216,-0.75537240469844,-0.478863114254613,-0.359182658216896,0.0443595194324041,2.59803751219902,-0.127105900169373
"ENSMUSG00000060657",-0.657582120203353,-0.115964400759961,-0.240987200625931,-0.16005901808952,-0.3833204190998,0.185548768402536,1.60035153952864,-0.227987149152615
"ENSMUSG00000052713",-0.357285721261686,0.41139341628468,-0.213655884350782,0.573603950245648,-0.424407184079868,0.571333328326704,-0.110003491877663,-0.450978413287031
"ENSMUSG00000022816",-1.38843900789288,-0.463013763670596,-0.657042273868314,-0.197989165969616,-0.407266561190698,1.68670360712292,0.255201543431129,1.17184562203806
"ENSMUSG00000108763",-0.192389153015908,-0.329603611577569,-0.482350194614806,-0.307584319181377,0.0375197539046432,0.100728025432245,1.64512524092108,-0.471445741868307
"ENSMUSG00000034158",0.123891456922963,-0.203913718329087,0.177031894220317,-0.080180414849374,-0.224489515106027,0.00980400759954236,0.405038064316024,-0.207181774774358
"ENSMUSG00000046961",-0.405096192998563,-0.25819136028164,0.266402099017547,-0.425683602518567,-0.426537712833477,-0.505206478922423,2.22869547870152,-0.474382230164401
"ENSMUSG00000001700",-0.0580887657837333,0.392075600779646,-0.351763800572764,-1.10070129687227,-0.229586586489842,-0.069492379643478,1.43672642074372,-0.0191691921612779
"ENSMUSG00000022812",0.487307441177239,-0.779603179633314,0.254514065760986,-0.456740597257103,-0.166366445339206,0.249259855306786,0.833241390783095,-0.421612530798483
"ENSMUSG00000022678",-0.267196879375375,0.503295448226589,0.0144519218722138,0.206943474778607,0.660925678659287,-1.51813708981666,0.107858669689417,0.291858775965916
"ENSMUSG00000024331",-0.62510980108986,-0.697774328007169,0.300570838412563,-0.497267933578008,-0.452587710107437,0.392817833474231,1.8641187798104,-0.284767678914721
"ENSMUSG00000002489",-0.263524089982283,-0.179015586709439,-0.108174624095306,-0.0704466066488746,-0.0318464718247186,0.141943672464418,0.429870512801319,0.0811931939948836
"ENSMUSG00000022982",-0.176763447195478,0.174765775011607,-0.261849700590228,-0.320951085490359,-0.521931808423193,0.500770628251477,0.61362966582326,-0.00767002738708533
"ENSMUSG00000022983",-0.149910202538181,-0.453486261817147,-0.149642852662713,0.286892150753527,0.402762448447475,0.103138504930799,-0.0487503254861366,0.00899653837237735
"ENSMUSG00000053644",0.187375838640578,-0.830159539619928,-0.00744912038761547,0.749892563910486,0.104548125843487,-0.345914195386467,-0.0743883013347004,0.21609462833416
"ENSMUSG00000053414",-0.00416340316267594,-0.416309724738053,0.513564290655212,0.723431323679283,0.221926932903011,-0.502319894094551,0.433795318583266,-0.969924843825492
"ENSMUSG00000022978",0.26059430133619,-0.178448704409975,0.2958395272019,0.262197454075326,0.0989859104520095,-0.0794507817077058,-0.824001750478972,0.164284043531226
"ENSMUSG00000039956",0.0773612527938199,-0.69782267556672,-0.633084474866037,-0.256765528642021,-0.435788636191568,0.863673048671581,1.47793504863475,-0.395508034833808
"ENSMUSG00000039929",0.227169797886919,-0.434088947630942,-0.783150550594426,0.756794986796838,0.636691220746425,0.234720162277001,-0.506364682061635,-0.13177198742018
"ENSMUSG00000008301",0.183784995589385,-0.00950911554218742,-0.1633292724472,-0.0800290350963413,-0.322400607992044,-0.0411395238432968,1.38307696300428,-0.950454403672599
"ENSMUSG00000024590",-0.0543888873586439,0.16475579448091,0.052907534313279,0.366752318711667,-0.163867756505281,-0.410939281879457,0.722911335795328,-0.678131057557802
"ENSMUSG00000018830",-0.774598107186958,0.742881075063663,-0.354511784301474,-0.141276815833959,0.100731738368317,0.130094289750434,0.0971287565083578,0.19955084763162
"ENSMUSG00000032656",0.432560690043515,-0.576221816042263,0.108871988316692,0.515733402645416,-0.0207268096411447,-0.790618290670782,0.351907559760806,-0.0215067244122396
"ENSMUSG00000024592",-0.185153142703973,-0.321985447512689,0.0141312868106432,-0.619359718050654,0.0105266731971152,1.6877454744694,-0.126287947277804,-0.45961717893204
"ENSMUSG00000044393",-0.496150676884279,-0.23821457987812,0.75274825788664,0.817385378309976,-0.830243115198562,-0.266412282458353,-0.615719985046487,0.876607003269184
"ENSMUSG00000085595",-0.447202309993209,-0.0335569327653464,-0.511589627673383,0.805294623604169,-0.496477909182736,-0.117967833913411,0.263137464533679,0.538362525390238
"ENSMUSG00000061808",1.14563606793453,0.670565884833907,1.13941009076263,-0.974393975983148,1.0217927307771,-1.38675821409366,-0.877049679424734,-0.739202904806627
"ENSMUSG00000056124",0.469375588778456,0.714763201758654,0.684229888336927,0.442495381784415,0.177923456266886,-0.712096849770581,-1.23299093507649,-0.543699732078265
"ENSMUSG00000024593",-0.481441534265899,-0.364258145710311,-0.454761245279255,-0.280718555362542,-0.478090659898471,1.22957700473831,1.44066230393465,-0.61096916815649
"ENSMUSG00000033382",-0.256588119325931,0.110896884617312,-0.0935486532417785,-0.360026805640452,-0.0491386885159582,-0.087441645480425,0.0471420563766766,0.688704971210557
"ENSMUSG00000022677",0.257416483746408,-0.110184844548074,0.380851683801963,0.439357463755472,0.0176208817891295,-0.28485418375464,-1.04288097676301,0.34267349197275
"ENSMUSG00000085612",-0.329159285675782,-0.789135032995423,-0.377748935463839,-0.497921417715976,-0.49736156407763,0.472947663258449,0.951174949174621,1.06720362349558
"ENSMUSG00000039903",-0.212740673077926,0.420271258067402,-0.229448982436642,0.331910370893192,0.196843019239976,-0.178019096727899,-0.514671245509704,0.1858553495516
"ENSMUSG00000044387",-0.179876274376594,0.328836194015987,-0.29617212400008,-0.683670830239284,0.0933135893829728,0.57534746026936,0.737202298692639,-0.574980313745001
"ENSMUSG00000033863",0.662818342989916,0.431398023034647,-0.373738652957859,0.362278347846836,-0.333469476704542,-0.300040601762279,-0.534583587459368,0.085337605012649
"ENSMUSG00000033107",-0.471814327479569,0.0164327102887775,-0.725799073918364,-0.094043828460065,-0.838649393154882,1.2197513246659,0.700062558933257,0.194060029124946
"ENSMUSG00000025075",0.488851126978974,0.487976904124311,1.23996442851393,0.319658545923266,0.917778197483155,-2.06719604794763,-2.31552187991961,0.928488724843607
"ENSMUSG00000024317",-0.264234280086244,0.195512642288288,-0.0120425234310494,-0.224676474327184,-0.587980951483969,0.785428658154519,-0.238088664033326,0.346081592918966
"ENSMUSG00000022972",-0.97248267795416,-0.762167310380283,0.115402178483592,0.700991296145175,0.148448206089277,0.361128159771426,0.742667275973329,-0.333987128128356
"ENSMUSG00000022790",0.593034542910351,-0.807154635860166,-1.21400383600119,0.131990909869599,-0.0621813248634493,0.716691273176534,-0.377273839859962,1.01889691062828
"ENSMUSG00000024313",-0.0834350781647047,0.199753803940292,-0.822130096213975,-0.992706568446827,-0.011399922374029,1.07188399924193,0.36318391055181,0.274849951465503
"ENSMUSG00000061080",0.699416904067622,0.51522694445972,-1.54358617076491,0.906719417503137,0.252668044057458,0.595821175576874,-1.74876559826499,0.322499283365085
"ENSMUSG00000042680",0.182699928078863,-0.199971766654927,0.261565445208889,-0.764991570010437,0.593914378127477,0.462521127051237,-0.542798423909801,0.00706088210870071
"ENSMUSG00000024943",-0.350088232200536,-1.08795466717048,-0.894311698751386,2.88369033792215,0.197358633204856,-0.0248982753078983,0.625349772758589,-1.3491458704553
"ENSMUSG00000024598",-0.653741516934498,-0.656311356247542,-0.437574521417531,-0.224494213629331,-0.7109886559058,2.12328682195239,1.15063912549325,-0.590815683310938
"ENSMUSG00000068617",-0.24529332184333,0.528511197090217,0.335225533403635,0.285070722847643,-0.0822937514025696,-0.733338023361368,-0.640205104667398,0.552322747933169
"ENSMUSG00000022973",1.2506872337134,1.37364942323932,0.0237816329743625,-0.301830989442462,-0.285415500704751,-0.48427806092447,-0.826064795881284,-0.750528942974107
"ENSMUSG00000042514",0.296526352649268,-0.265263966354319,0.506614873148442,-0.185097887660401,-0.0766152477114842,-0.00020286542360981,-0.31444148672726,0.038480228079364
"ENSMUSG00000033207",0.0305824970739822,0.589707240734626,-0.0743746946699383,1.63415347230715,-0.34761262421773,-0.951179537988233,-0.571574450192384,-0.309701903047475
"ENSMUSG00000024600",-0.17941120266971,-0.442298342755964,-0.207892819690034,-0.228786190397851,-0.935713370980271,0.679404142054724,2.02043155125448,-0.705733766815372
"ENSMUSG00000043168",0.63343453590897,0.326838635590381,0.564073334812731,0.0312570285202807,-0.209897983984845,-1.22564824493236,-0.414317781258752,0.294260475343592
"ENSMUSG00000024601",0.0610158827136783,-0.64124186357539,-0.455791282133286,-0.648476219275283,-0.659633959419019,0.728270565126261,1.91488503669539,-0.299028160132347
"ENSMUSG00000033053",-0.692114520620703,-0.952312527490935,-0.625959208762991,-0.533092972414841,1.90334967229777,-0.288954771228451,2.02046872188054,-0.831384393660384
"ENSMUSG00000074925",-0.521160103824203,0.121756935425612,0.264870945600237,0.392932825599747,0.370648176479292,-0.285917061070947,0.0933330079251151,-0.436464726134853
"ENSMUSG00000024897",1.51264681101691,0.401114703456668,-0.054103933147767,-0.299739331677769,-1.2311763000218,-0.437906513376939,0.399902199326327,-0.290737635575635
"ENSMUSG00000024306",0.379245738303146,-1.28538360372629,0.385065421610535,0.732572629733999,-1.01138070655283,0.00641382866723453,0.883099148768141,-0.0896324568039316
"ENSMUSG00000085279",-0.573795803853876,0.235836638505594,-0.590347487870233,0.210520135047741,0.423352055431281,-0.535288604957245,0.58612799526247,0.243595072434266
"ENSMUSG00000022674",0.255714005797603,-0.0687318186899733,-0.0570964837635415,0.273177472097175,-0.147445290324253,-0.221544608749046,0.443241468787,-0.477314745154964
"ENSMUSG00000071604",-0.52060928042151,0.0979935941538787,0.34816668228283,-0.177596059647384,-0.151233784918891,-0.0695048031694832,0.468291527306418,0.00449212441414137
"ENSMUSG00000022673",0.0655924824806361,-0.0838649244046092,-0.180117858669087,-0.0966793760643856,0.311407611404099,0.291251829724879,-0.213604233739826,-0.0939855307317064
"ENSMUSG00000033063",-0.342382883307142,-0.876625888174158,-0.0282057015119433,-0.575510038543396,-0.459624960008888,-0.614935048560643,0.98593284969979,1.91135167040638
"ENSMUSG00000024812",-0.344434244993661,-0.323173504546479,-0.0174491034869884,-0.408787519800203,-0.452355583792968,0.970874684111778,0.414883813879208,0.160441458629313
"ENSMUSG00000020607",-0.0291478941918961,0.063608891379792,0.215799611771127,-0.00914773502441635,0.813790550300091,-0.0775722820558629,-0.962123778490021,-0.0152073636888143
"ENSMUSG00000050875",0.117190179752677,-0.772682380900404,0.217647193282226,-0.202211969910428,-0.299488723815796,-0.180495776548291,1.17548711351186,-0.0554456353718472
"ENSMUSG00000022974",0.503507241305291,0.135256499935527,-0.3385091232706,0.117474765929942,0.13572216644396,0.017326580538437,-0.208624935810293,-0.362153195072264
"ENSMUSG00000041817",0.976091782118055,0.481827634154002,-0.86112779609395,-0.111188276238033,-0.684893283799661,-0.108745708330626,-0.607536400625709,0.915572048815922
"ENSMUSG00000020601",-0.49092834116427,0.392284707068399,0.34821419901474,0.179978592965896,0.0911678593025659,-0.553556557611716,0.00697712714018006,0.0258624132842055
"ENSMUSG00000058152",0.217647358536844,0.443013881667403,0.0965083416982488,-0.487048844145556,-0.129339378188482,-0.379896464601111,0.183615605361535,0.0554994996711176
"ENSMUSG00000097580",0.945871048754188,0.61632220390854,0.107946618733973,-0.605947775525838,-0.287549684516332,-0.490231737053357,-1.34273365390697,1.0563229796058
"ENSMUSG00000073555",1.23876971308815,0.84232657544471,-0.495410736495361,0.36964871756269,-1.30591906498623,-0.658203702281905,-0.798717641076782,0.807506138744727
"ENSMUSG00000035181",-0.622291613847428,-0.57285605911969,1.82910577520374,-0.65307328440808,-0.768270257290545,1.33584725760275,0.0085015862724066,-0.556963404413152
"ENSMUSG00000057762",-0.351949744609993,-0.388169219385948,-0.37213148298166,0.0106196209153979,-0.146030317829071,0.413553833525426,0.993528655520392,-0.159421345154544
"ENSMUSG00000068606",0.034824935293091,0.587241862047686,-0.341872645937718,-0.240270300220664,1.66137562605455,-0.636738491089599,-0.81961129615541,-0.244949689991937
"ENSMUSG00000059363",0.600335380075711,1.06722358834675,1.1034456930279,-0.666097765885983,-0.133755757864322,-1.04179780142555,-0.715651363207792,-0.213701973066711
"ENSMUSG00000060739",1.56400516560871,0.422882035312604,-0.357898140608779,0.0420862568200888,-0.415231442212293,-1.0150193507888,-1.84676412660411,1.60593960247258
"ENSMUSG00000090942",1.22627459459643,1.19259573174584,-0.630610962681114,0.361507210488274,-1.05574776193432,-1.21094485955183,-0.609840541146727,0.726766588483452
"ENSMUSG00000045215",-0.0419635481431709,0.221352789573845,0.41723899619871,-0.162315200633967,0.134196171444464,0.215276146178248,-0.91816250042135,0.134377145803221
"ENSMUSG00000033965",0.254533570422151,0.0194358876274192,0.475948518722423,0.22299479710081,0.424302130245861,-0.732223797475524,-0.871891153196051,0.20690004655291
"ENSMUSG00000085398",-0.560675107583392,0.146491819511268,0.0160411550311025,0.984480023967149,0.95347484902184,-0.754490061199358,-0.890898382433077,0.105575703684467
"ENSMUSG00000039851",-0.11259944578602,-0.150054278970579,-0.31952674135295,1.39982573460966,1.37121028505958,-0.357729944543614,-1.09398757785082,-0.737138031165255
"ENSMUSG00000021359",1.03909844414364,-0.878394698839898,-0.209515054186723,-0.21153776821461,-0.181470165700239,-0.530143927294101,1.15798130657942,-0.186018136487496
"ENSMUSG00000024867",-0.43680245050477,-0.378294381186327,-0.336610721902383,0.416354008286637,-1.18282796813175,0.0555217156827257,1.15630304754018,0.706356750215682
"ENSMUSG00000022708",0.00322409020494485,0.000412087635430547,0.208985161356508,-0.38386953956701,-0.113330509006015,0.338945381850525,0.00612450994550895,-0.0604911824198927
"ENSMUSG00000054072",0.502190350187115,0.706774871249165,0.0737669764751501,0.606532555375719,-0.0819763270518491,-1.45015692610932,-0.371768028142497,0.0146365280165122
"ENSMUSG00000073131",0.00477058513554446,0.25456775027515,0.287050012902692,0.378214339312813,0.30475559315789,-0.998662645824516,-0.238022859516133,0.0073272245565601
"ENSMUSG00000038059",0.821903873495145,-0.708451312458528,1.22857507303866,-0.139295907258215,-0.517941625124969,-0.404656076952388,1.12484429836733,-1.40497832310704
"ENSMUSG00000024603",0.253236563970706,-1.12592123291548,-0.0259570106315871,1.07241124765659,-0.183634512079326,-1.61972199797278,2.2079249168482,-0.578337974876322
"ENSMUSG00000097752",1.1067492256822,-0.399217285148494,-0.422986428756431,-0.334378724156154,-0.415254143623321,-0.313752037776188,0.17094922822073,0.607890165557656
"ENSMUSG00000074922",-0.46721404342878,0.871164064774993,0.113278465413102,-0.301205961965232,0.0820224145480554,-0.275271097174042,-0.357795872291824,0.335022030123728
"ENSMUSG00000048572",-0.0204345693587391,0.504141457800982,0.164040582948963,-0.741177445890945,0.246912748149335,-0.487009911702267,-0.363245797198471,0.696772935251143
"ENSMUSG00000041731",-1.01903782979188,1.13519289362128,1.06376770454645,0.688946967093902,0.817970014083213,-1.29340116390733,-0.273366650389931,-1.1200719352557
"ENSMUSG00000021360",-0.379264656507589,0.493167527895379,-0.528863837557417,0.658616532072552,0.483612792425399,0.100293858217926,-0.92222100680317,0.0946587902569192
"ENSMUSG00000020956",1.20786019240045,-0.122648978192268,-1.37447689958816,0.803234478301005,0.220940163352528,-1.18861222516371,-0.895171376388699,1.34887464527886
"ENSMUSG00000035148",0.202888584857633,0.235161967672512,0.267080251914669,-0.527532703424663,0.015464207558547,-0.423076777310716,0.339758761121185,-0.109744292389167
"ENSMUSG00000058927",0.442416898247621,-0.253207230309596,0.024125430933906,-0.141381481113749,0.317224682421643,-0.485039549688345,-0.18942949826734,0.285290747775862
"ENSMUSG00000049134",0.33558012260478,0.808523939205754,1.24167811118161,0.483973937740239,1.32509273014778,-1.19279774728193,-1.67005379046403,-1.3319973031342
"ENSMUSG00000056537",-0.404952799818569,0.0728438758789929,0.0739629433290405,0.749798807884509,-0.543973879755962,0.238881569154749,0.630632404025511,-0.817192920698271
"ENSMUSG00000097743",0.0481462438924131,-0.514692975632993,-0.229122340508088,0.150496976917353,0.766092502022293,-0.396234439919399,0.1921611175529,-0.0168470843244805
"ENSMUSG00000021938",0.477316894567852,0.248596781465135,-1.09455331976901,-0.466418743463535,0.732180228303656,-0.260608139094651,0.418729535485725,-0.0552432374951702
"ENSMUSG00000101588",0.692218209353545,-0.738695430274317,-0.197134466334549,-0.248608498399426,0.589413270167898,-0.048868364036257,-0.0192271206272645,-0.0290975998496292
"ENSMUSG00000097003",0.319353685186112,-0.488967054013172,-0.30337320559159,-0.460397948661839,0.0610013669100961,0.0287040963123457,0.523159759314687,0.320519300543361
"ENSMUSG00000036061",-0.537909564754906,-0.222119861341049,-0.283577763902576,0.0585755852562376,-0.166068443530476,1.10578457850472,-0.395015091774202,0.440330561542254
"ENSMUSG00000073130",-0.552610929185349,0.319133821084643,0.0785610200493444,0.147150881818271,0.206773063498356,0.423085819091933,0.13055809204895,-0.752651768406148
"ENSMUSG00000055370",0.0308607003276632,0.0307767028372043,-0.0495062491212262,0.303258929716379,-0.14654016052678,0.518653775546696,-0.860472502251404,0.172968803471468
"ENSMUSG00000068114",-0.0478382627523161,0.554673118477037,0.505094288951632,0.174845925163581,0.0122791785522179,0.0280622117396768,0.372732043152922,-1.59984850328475
"ENSMUSG00000071552",-0.543176249488331,0.177871624805262,0.307192856105709,0.198011577810216,0.183215144472658,-0.0901068686780366,-0.348163404240629,0.115155319213151
"ENSMUSG00000022672",-0.11920195251615,0.022212950077374,-0.0193956677173005,0.502370401631377,-0.302944341732207,-0.659189193408378,1.07311936023242,-0.496971556567139
"ENSMUSG00000055639",0.401220645964701,0.00343315607487737,0.0951281669127146,0.46950161406508,-0.0360686173981958,-0.425648803128478,-0.591387840445484,0.0838216779547841
"ENSMUSG00000024604",0.262686093750491,-0.0726141821287226,0.076572031680303,0.482373232678214,0.403665537138734,-1.04257834021446,-0.0605685728131364,-0.0495358000914213
"ENSMUSG00000035142",0.751767772586859,0.316389158905646,-0.331713191249363,0.74381476715379,0.358185078853593,0.0457634487106831,-1.53021747795038,-0.353989557010832
"ENSMUSG00000033361",-0.228957015555187,-0.845513104704857,0.119339871894056,0.258467804373078,0.236013546713273,0.0553901767123609,0.354697111735517,0.0505616088317583
"ENSMUSG00000038683",0.3367025081133,0.117859530546979,0.256801700272227,-0.244312264220937,0.637088675228952,-1.38577594183264,0.258854223415536,0.0227815684765812
"ENSMUSG00000046449",-0.625515386075011,-0.618585930930833,-0.650611752061733,0.290701690351537,-0.117722828902559,0.922080213659569,0.993517134467839,-0.193863140508809
"ENSMUSG00000021242",0.617235063195362,0.478675267777163,0.825414880748151,0.788155599158031,0.540930162942845,-1.4595961676114,-1.125634978094,-0.665179828116158
"ENSMUSG00000043079",0.0860093929101463,0.136444707619753,0.128037943422451,-0.646463708642345,0.427690297364753,-0.526687638508509,0.0163349627860374,0.378634043047714
"ENSMUSG00000021241",1.12854159402669,0.953034565515801,0.571443079052638,-0.0659055841978061,0.396929353008062,-1.21224039340468,-1.4850108018067,-0.286791812194
"ENSMUSG00000047462",-0.0878198657944541,0.45998719713004,-0.310759129672972,0.137276109140224,0.194791216905649,-0.202173897503211,0.433583952440138,-0.624885582645413
"ENSMUSG00000021361",0.0967981326132195,0.0541143412390084,-0.0870491835177554,0.0334584135637973,0.170404529263456,0.176095752491884,0.206851855830179,-0.650673841483789
"ENSMUSG00000054008",0.00530784384029437,0.843342092463003,0.933763410143466,-1.10958881082091,0.66224966268745,-1.54873414750124,-0.521388613991042,0.735048563178978
"ENSMUSG00000040123",0.514680043043549,-0.2067836213667,0.0896449135070474,0.538965794877118,0.0352667624628962,-0.208708877029462,0.295165969636153,-1.0582309851306
"ENSMUSG00000035133",0.484521840807605,1.35271652992861,-0.721520407466939,0.540582452746552,0.38251181598975,-0.640315078655273,-0.595938706404707,-0.802558446945597
"ENSMUSG00000053101",0.672095709801742,0.294665969813728,-0.738956985879702,0.320846456945959,0.213085676175613,-0.135957703661485,-0.488910571990679,-0.136868551205176
"ENSMUSG00000009575",0.249554613591952,-0.524991901704858,-0.316075146891603,-0.0849909031407231,-0.371428205227368,-0.343785787638395,1.49632125744956,-0.104603926438564
"ENSMUSG00000041112",-0.0756676874859177,0.50919937791715,-0.222065360615139,-0.329976934008037,0.304473470598372,-0.157175013109189,-0.0689728881483643,0.0401850348511247
"ENSMUSG00000079105",-0.652755031573837,0.420134045526557,-0.536864125173814,-0.496336051977364,-0.587614118397022,0.824437970421786,1.47013882174699,-0.441141510573297
"ENSMUSG00000061603",-0.235815174931706,-0.37577161219536,0.675512168914047,-0.0326620030806311,-0.759223511186872,-0.697200208857792,1.23952803464622,0.185632306692095
"ENSMUSG00000100017",0.468616192804161,0.44249160343592,0.134245436171369,0.474203823166871,-0.113566719733339,-1.16751599689754,0.490607347341672,-0.729081686289112
"ENSMUSG00000031333",0.296646193846253,0.203460673184355,0.3266419400453,0.557576349172606,-0.130086246209788,-0.531733459011218,-0.235172005995533,-0.487333445031974
"ENSMUSG00000024608",-1.68721200785262,0.0796010017387517,0.15013143664229,1.38230631128387,-0.0280065840473921,-0.300207031516063,0.502595133844289,-0.0992082600931224
"ENSMUSG00000037572",-0.320385380167351,0.847010046344864,0.163168363692882,-0.262530005650361,0.106401536696198,0.186789803219841,-0.0472643490319838,-0.67319001510409
"ENSMUSG00000041849",-0.559615871071617,0.00596996441346936,-0.821184596321442,0.0834338164367869,-0.10989403047496,1.47112869758073,0.257593178847404,-0.327431159410372
"ENSMUSG00000041841",0.351307812392965,0.779081787028261,0.0594900003042301,-0.324759188074151,0.261895784765256,-0.755116934960708,-0.781269621659336,0.409370360203483
"ENSMUSG00000050697",0.0560772744293547,-0.15728873448746,0.341622665795316,0.492550461984919,-0.418364476758142,0.258332485459664,-0.0759019773463138,-0.497027699077338
"ENSMUSG00000021010",-0.914265416150937,-1.05649921367476,1.70675377491271,-0.848004831412767,-0.904701542963042,1.80655624474526,0.641961695135107,-0.43180071059157
"ENSMUSG00000024302",0.104224958122473,0.166423544040232,0.319746517889292,0.402886374353237,0.022498640907202,-0.242176815115394,-1.341217296316,0.567614076118954
"ENSMUSG00000022705",0.0576633797018947,0.327908979837684,0.0528565791297139,-0.0608229227030347,0.264565270986149,-0.352304220170589,-0.355637699632529,0.0657706328507104
"ENSMUSG00000087532",0.0901694050337113,0.244545498875228,0.156970370495142,-0.175234226163816,-0.229916346521041,0.23363969618213,-0.0948527200804968,-0.225321677820857
"ENSMUSG00000005705",0.268907275877168,-0.599136340800619,-0.152043493675513,-0.395724171497226,-0.0619401049400631,-0.0278552835903701,1.24924780456271,-0.281455685936086
"ENSMUSG00000022463",0.467968967870392,0.2569562347757,0.0150133008171583,-0.1737400669158,0.502751356017942,-0.227694590688012,-0.976421564646254,0.135166362768874
"ENSMUSG00000073016",-0.186433375606182,-0.169121689345328,-0.324985577732017,0.0579765145937306,-0.0259090371135539,0.611064633986707,0.231895086077913,-0.19448655486127
"ENSMUSG00000031340",-0.285827477571082,-0.504663569768074,-0.0109486358490409,-0.0312223512567728,-0.305761464197449,0.186373985703411,0.852721463353887,0.0993280495851194
"ENSMUSG00000038604",0.312842307531179,-0.113284250400851,-0.238943252885353,-0.10184397642805,-0.239580559564977,-0.443468485030081,0.587063941356802,0.237214275421331
"ENSMUSG00000021322",-0.419831325045139,0.10439054070072,0.355770163240971,-0.625204872810488,0.519849150998374,0.419239486292627,1.55371619581716,-1.90792933919422
"ENSMUSG00000022671",-0.450318377988237,-0.589418637189157,-0.156936061100388,-0.406068884490075,-0.73832670775664,1.21989615012854,1.41222918119217,-0.291056662796215
"ENSMUSG00000035105",-0.427141428801412,0.616927392677203,-0.310443581630268,-0.0021965164002673,0.834416201597275,-0.0752587570286662,-0.695905273402121,0.0596019629882575
"ENSMUSG00000071637",0.459963197554729,-0.0614396741716459,0.0613996475916574,0.0511766814149051,0.0576706401673299,-0.128909411494017,-0.594093258353203,0.154232177290245
"ENSMUSG00000022704",-0.613422844806392,-0.716698904698347,-0.452832021114207,-0.523449164067639,-1.01167276333331,1.37178474038687,2.39847392798973,-0.452182970356703
"ENSMUSG00000044408",0.951253943855409,0.392665968853684,0.360458139241718,0.554528233791954,0.0906942284427705,-0.834990836592077,-1.91660896178018,0.401999284186719
"ENSMUSG00000033906",-0.864143444861774,-0.214683664584318,-0.38739155612152,-0.0534447735276496,-0.20846923831275,0.771495931026432,1.00814118774032,-0.0515044413587395
"ENSMUSG00000098120",0.274096318181702,0.399890118364877,0.199383174581111,0.114313911167869,-0.406694135032258,-0.872510328838875,-0.551243161827656,0.84276410340323
"ENSMUSG00000005698",0.0026367687052871,-0.139426862593991,0.0510727642508491,-0.24028655393438,0.16920933416718,0.219691681616573,0.0855370222823629,-0.148434154493882
"ENSMUSG00000002020",-0.585553060015573,-0.0518091695493634,-0.0837363858611639,0.681310314349436,-0.00528642313836425,-0.231200161202342,0.774524032895096,-0.498249147477726
"ENSMUSG00000022369",-0.0515882352390107,-0.0585632488488834,-0.509637996422931,-0.305917588400461,0.0985861883703162,-1.12933841077564,1.84135793276275,0.115101358553861
